iter	Passed	Remaining
587	6799	4764
588	6810	4752
589	6820	4739
590	6832	4728
591	6843	4716
592	6855	4704
593	6866	4693
594	6877	4681
595	6889	4669
596	6901	4658
597	6913	4647
598	6923	4635
599	6934	4623
600	6948	4613
601	6960	4601
602	6972	4590
603	6983	4578
604	6994	4566
605	7005	4555
606	7017	4543
607	7028	4531
608	7039	4519
609	7050	4507
610	7062	4496
611	7073	4484
612	7085	4473
613	7096	4461
614	7107	4449
615	7119	4437
616	7131	4426
617	7142	4415
618	7154	4403
619	7166	4392
620	7178	4380
621	7189	4369
622	7201	4357
623	7212	4345
624	7223	4333
625	7233	4321
626	7244	4309
627	7255	4297
628	7266	4285
629	7277	4274
630	7288	4262
631	7300	4250
632	7310	4238
633	7321	4226
634	7332	4214
635	7343	4203
636	7355	4191
637	7367	4180
638	7378	4168
639	7389	4156
640	7400	4144
641	7412	4133
642	7423	4121
643	7434	4109
644	7445	4097
645	7455	4085
646	7466	4073
647	7477	4061
648	7488	4050
649	7499	4038
650	7510	4026
651	7521	4014
652	7532	4002
653	7544	3991
654	7558	3980
655	7568	3969
656	7580	3957
657	7591	3945
658	7602	3933
659	7614	3922
660	7625	3910
661	7636	3899
662	7647	3887
663	7659	3875
664	7671	3864
665	7682	3852
666	7693	3840
667	7704	3829
668	7714	3817
669	7725	3805
670	7736	3793
671	7747	3781
672	7759	3770
673	7771	3758
674	7782	3747
675	7793	3735
676	7803	3723
677	7814	3711
678	7824	3699
679	7835	3687
680	7847	3675
681	7858	3664
682	7870	3653
683	7881	3641
684	7892	3629
685	7903	3617
686	7914	3605
687	7925	3593
688	7937	3582
689	7949	3571
690	7964	3561
691	7975	3549
692	7986	3538
693	7998	3526
694	8010	3515
695	8021	3503
696	8033	3492
697	8044	3480
698	8055	3468
699	8067	3457
700	8078	3445
701	8089	3433
702	8100	3422
703	8111	3410
704	8121	3398
705	8132	3386
706	8143	3374
707	8154	3363
708	8167	3352
709	8178	3340
710	8189	3328
711	8200	3317
712	8211	3305
713	8221	3293
714	8232	3281
715	8243	3269
716	8254	3258
717	8265	3246
718	8276	3234
719	8287	3222
720	8299	3211
721	8309	3199
722	8320	3187
723	8331	3175
724	8342	3164
725	8353	3152
726	8364	3140
727	8376	3129
728	8387	3118
729	8398	3106
730	8408	3094
731	8419	3082
732	8431	3071
733	8442	3059
734	8453	3047
735	8464	3036
736	8475	3024
737	8486	3012
738	8498	3001
739	8509	2989
740	8519	2977
741	8530	2966
742	8542	2954
743	8554	2943
744	8564	2931
745	8575	2919
746	8588	2908
747	8600	2897
748	8611	2885
749	8621	2873
750	8631	2861
751	8642	2850
752	8654	2838
753	8665	2827
754	8675	2815
755	8686	2803
756	8696	2791
757	8707	2779
758	8717	2768
759	8728	2756
760	8739	2744
761	8750	2733
762	8761	2721
763	8772	2709
764	8785	2698
765	8796	2687
766	8807	2675
767	8819	2664
768	8831	2652
769	8842	2641
770	8854	2629
771	8866	2618
772	8878	2607
773	8890	2595
774	8901	2584
775	8913	2572
776	8924	2561
777	8935	2549
778	8946	2538
779	8958	2526
780	8969	2515
781	8980	2503
782	8991	2491
783	9002	2480
784	9014	2469
785	9026	2457
786	9036	2445
787	9047	2434
788	9059	2422
789	9070	2411
790	9082	2399
791	9094	2388
792	9104	2376
793	9116	2365
794	9128	2353
795	9139	2342
796	9150	2330
797	9161	2318
798	9172	2307
799	9182	2295
800	9196	2284
801	9207	2273
802	9217	2261
803	9228	2249
804	9239	2238
805	9249	2226
806	9260	2214
807	9271	2203
808	9283	2191
809	9294	2180
810	9305	2168
811	9316	2157
812	9327	2145
813	9338	2133
814	9349	2122
815	9359	2110
816	9371	2099
817	9382	2087
818	9397	2076
819	9408	2065
820	9419	2053
821	9431	2042
822	9441	2030
823	9453	2019
824	9464	2007
825	9476	1996
826	9487	1984
827	9498	1973
828	9509	1961
829	9521	1950
830	9532	1938
831	9543	1927
832	9555	1915
833	9566	1904
834	9577	1892
835	9588	1880
836	9599	1869
837	9610	1857
838	9623	1846
839	9634	1835
840	9645	1823
841	9656	1811
842	9666	1800
843	9678	1788
844	9689	1777
845	9700	1765
846	9711	1754
847	9723	1742
848	9734	1731
849	9745	1719
850	9756	1708
851	9767	1696
852	9778	1685
853	9789	1673
854	9801	1662
855	9812	1650
856	9823	1639
857	9835	1627
858	9845	1616
859	9856	1604
860	9867	1592
861	9878	1581
862	9889	1569
863	9900	1558
864	9911	1546
865	9922	1535
866	9933	1523
867	9944	1512
868	9955	1500
869	9966	1489
870	9978	1477
871	9989	1466
872	10003	1455
873	10015	1443
874	10026	1432
875	10037	1420
876	10048	1409
877	10059	1397
878	10070	1386
879	10081	1374
880	10093	1363
881	10104	1351
882	10114	1340
883	10125	1328
884	10137	1317
885	10147	1305
886	10158	1294
887	10170	1282
888	10181	1271
889	10193	1259
890	10203	1248
891	10214	1236
892	10225	1225
893	10237	1213
894	10247	1202
895	10258	1190
896	10269	1179
897	10280	1167
898	10291	1156
899	10302	1144
900	10313	1133
901	10324	1121
902	10335	1110
903	10346	1098
904	10356	1087
905	10369	1075
906	10380	1064
907	10392	1052
908	10403	1041
909	10415	1030
910	10426	1018
911	10436	1007
912	10448	995
913	10460	984
914	10471	972
915	10483	961
916	10494	949
917	10505	938
918	10517	926
919	10528	915
920	10539	904
921	10551	892
922	10562	881
923	10574	869
924	10584	858
925	10596	846
926	10609	835
927	10621	824
928	10632	812
929	10644	801
930	10656	789
931	10667	778
932	10678	766
933	10689	755
934	10700	743
935	10711	732
936	10723	721
937	10734	709
938	10746	698
939	10758	686
940	10769	675
941	10781	663
942	10792	652
943	10803	640
944	10814	629
945	10825	617
946	10835	606
947	10847	594
948	10859	583
949	10871	572
950	10883	560
951	10893	549
952	10905	537
953	10917	526
954	10928	514
955	10939	503
956	10950	492
957	10961	480
958	10973	469
959	10984	457
960	10995	446
961	11006	434
962	11018	423
963	11030	411
964	11041	400
965	11052	389
966	11063	377
967	11075	366
968	11086	354
969	11097	343
970	11108	331
971	11119	320
972	11131	308
973	11141	297
974	11153	285
975	11164	274
976	11176	263
977	11187	251
978	11199	240
979	11211	228
980	11224	217
981	11235	205
982	11247	194
983	11258	183
984	11270	171
985	11281	160
986	11292	148
987	11304	137
988	11315	125
989	11326	114
990	11337	102
991	11349	91
992	11360	80
993	11371	68
994	11382	57
995	11394	45
996	11405	34
997	11417	22
998	11431	11
999	11444	0
